,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
46121,gdb_46122,O=C1COC(CC#C)O1,3.73163,1.02633,0.83821,2.7643,67.57,-0.2735,-0.0012,0.2723,1304.3087,0.111182,-457.766208,-457.757924,-457.75698,-457.800003,29.78
16316,gdb_16317,CNC12CC1OC2=N,3.26176,1.96943,1.41522,1.7208,66.24,-0.2314,0.0192,0.2506,895.2766,0.130683,-379.876401,-379.868823,-379.867879,-379.908354,28.218
122861,gdb_122862,COCCOC(=N)CO,4.19402,0.62302,0.56885,1.7894,74.57,-0.2558,0.0329,0.2887,1962.0618,0.168674,-477.407569,-477.396915,-477.395971,-477.44487,36.472
111157,gdb_111158,COC1C2CC1C21CO1,4.25328,1.07896,0.99883,2.2248,76.58,-0.25,0.0917,0.3416,1239.1174,0.158669,-422.931849,-422.923731,-422.922787,-422.964602,31.169
45562,gdb_45563,O=C1CC2COCC2O1,3.59401,1.33489,1.13476,3.3932,67.06,-0.268,0.0081,0.2761,1067.5001,0.138616,-459.015526,-459.008392,-459.007448,-459.04781,27.156
97086,gdb_97087,CN=C1COC(O1)C=O,3.27933,1.07628,0.87893,1.5218,69.36,-0.2559,-0.0487,0.2072,1297.893,0.122109,-475.028932,-475.01983,-475.018886,-475.064526,30.578
19369,gdb_19370,OCC12CC1C1CN21,3.84418,1.81114,1.52672,2.2995,67.48,-0.227,0.0589,0.2859,870.4867,0.142536,-363.765256,-363.758123,-363.757179,-363.796666,27.922
65981,gdb_65982,CC1(CNC1=O)N1CC1,2.27747,1.56456,1.42554,2.5693,75.93,-0.2201,0.0292,0.2493,1047.459,0.158923,-419.19681,-419.18789,-419.186946,-419.230347,33.251
54769,gdb_54770,[NH3+]C12CN(C1)C2C([O-])=O,2.73282,1.56511,1.18482,6.7504,68.86,-0.2544,0.0096,0.264,1042.9606,0.137359,-455.09,-455.082253,-455.081308,-455.122417,30.135
91114,gdb_91115,OC1CC2C3CCC1C23,2.65895,1.76722,1.42916,1.2934,79.76,-0.2521,0.0703,0.3224,998.6171,0.186562,-387.100785,-387.093499,-387.092555,-387.132206,30.524
61003,gdb_61004,CC(C=O)N1CC1C=O,2.14946,1.56041,1.19067,2.215,74.32,-0.2414,-0.0382,0.2033,1114.8146,0.144233,-439.069073,-439.059611,-439.058667,-439.103658,33.461
51624,gdb_51625,O=COC1CC2(CO2)C1,6.95496,0.70463,0.6928,4.2113,71.4,-0.2733,0.0043,0.2775,1579.9066,0.134116,-458.948158,-458.939697,-458.938753,-458.982522,30.548
118503,gdb_118504,COC(CCO)C1CO1,2.2386,0.96735,0.71441,2.9002,75.6,-0.2532,0.077,0.3303,1593.0297,0.179541,-461.317196,-461.306501,-461.305557,-461.354008,36.992
78524,gdb_78525,CC12C(O)C1C1(O)CC21,2.32629,1.57028,1.24649,1.8366,75.95,-0.2018,0.0738,0.2756,1090.5335,0.157035,-422.942059,-422.933248,-422.932303,-422.974693,34.862
95826,gdb_95827,CC1CCCC(C)OC1,2.66507,1.19315,0.89892,1.1373,89.43,-0.2396,0.0838,0.3234,1414.971,0.230034,-389.511287,-389.501651,-389.500707,-389.545169,37.652
132799,gdb_132800,c1cnc(c(c1F)N)N,2.39077,1.81027,1.0336,1.6601,73.09,-0.2023,0.0013,0.2036,1062.2435,0.114972,-458.157446,-458.149865,-458.148921,-458.189142,29.849
127185,gdb_127186,CN(C=O)c1ncon1,4.37886,1.13036,0.90353,2.4915,66.12,-0.2594,-0.0354,0.224,1186.1217,0.101758,-470.02734,-470.019525,-470.018581,-470.060335,27.325
57388,gdb_57389,CC(C)(O)C12CC1CC2,2.66573,1.31246,1.20877,1.3553,84.99,-0.248,0.0668,0.3148,1193.5017,0.204299,-388.270457,-388.260827,-388.259883,-388.30423,37.992
99226,gdb_99227,CNC(=O)CCC(=O)N,5.11521,0.63052,0.58966,2.5079,74.63,-0.2438,0.03,0.2737,1873.8445,0.157715,-456.418519,-456.407653,-456.406709,-456.456621,36.905
16579,gdb_16580,CC1C2C(N2C)C1=O,3.19334,1.89212,1.52366,2.3746,69.14,-0.2261,-0.0202,0.2059,898.1506,0.14096,-363.831179,-363.823219,-363.822275,-363.86338,29.283
117156,gdb_117157,CCCC(=O)C(C)CO,3.776,0.66299,0.63374,1.2131,82.88,-0.2388,-0.0089,0.2299,1894.9371,0.20231,-425.451869,-425.44024,-425.439296,-425.490013,40.418
126620,gdb_126621,CCCn1ncc(n1)O,4.61292,0.84003,0.75572,1.7931,75.7,-0.2278,0.0031,0.2309,1524.1569,0.148758,-435.279916,-435.271081,-435.270137,-435.314674,31.802
20374,gdb_20375,c1nnnn1C2CC2,6.40044,1.47547,1.32636,6.0818,62.8,-0.2803,-0.0144,0.2659,901.3742,0.108988,-374.863311,-374.85685,-374.855906,-374.895059,23.439
40210,gdb_40211,C1CC2(CCC=C1)CC2,2.73779,1.40068,1.08048,0.1303,90.35,-0.2316,0.0244,0.256,1212.4561,0.208426,-351.159668,-351.151324,-351.15038,-351.192284,33.944
56717,gdb_56718,OC(C#C)C1(CN1)C#C,2.02566,1.41082,1.25101,0.2282,76.51,-0.2556,0.0156,0.2712,1116.7724,0.120947,-400.636107,-400.626703,-400.625759,-400.670283,34.909
34780,gdb_34781,C#CC12CC(C1)C2C#N,2.29223,1.5973,1.11583,4.0035,81.09,-0.2748,0.007,0.2818,1093.9853,0.124587,-363.54443,-363.53672,-363.535776,-363.576667,29.951
128393,gdb_128394,CNC=[NH+]C1=CN=N[N-]1,7.33793,0.70123,0.64328,14.5971,90.87,-0.1947,-0.0599,0.1347,1672.6686,0.125509,-430.200776,-430.191997,-430.191053,-430.235527,30.223
61312,gdb_61313,OC(CC#N)CC1CC1,4.77505,0.66645,0.65192,4.9491,80.4,-0.2788,0.0294,0.3081,1749.4979,0.169765,-403.149578,-403.139731,-403.138787,-403.185235,35.574
63848,gdb_63849,CC1(O)CC2CC(C2)C1,2.79249,1.40214,1.39529,1.2696,84.41,-0.2537,0.0688,0.3226,1102.7721,0.20783,-388.296572,-388.288351,-388.287407,-388.328505,34.568
108017,gdb_108018,OCC12OC3C4C(C14)C23,3.8263,1.52233,1.38319,2.2409,69.73,-0.2541,0.0774,0.3315,954.0146,0.136736,-421.73714,-421.730343,-421.729399,-421.768286,27.82
14510,gdb_14511,CC1(CO)C2CC1C2,3.47218,1.77724,1.4716,1.4535,74.78,-0.2579,0.0701,0.328,935.3847,0.177886,-348.940845,-348.932992,-348.932048,-348.972738,30.938
104824,gdb_104825,CCC1(CO)OCC1=O,1.97204,1.45893,1.21463,2.3484,71.69,-0.2526,-0.0304,0.2221,1161.5795,0.1567,-460.159819,-460.150149,-460.149205,-460.194582,34.901
103541,gdb_103542,CCC1(C)C=CCC1O,2.39749,1.3334,1.16243,1.359,86.33,-0.2441,0.0188,0.263,1227.3387,0.205218,-388.305922,-388.296228,-388.295284,-388.33987,37.787
120752,gdb_120753,CCCC1CN1C1CC1,3.30717,0.80826,0.71859,1.2346,90.42,-0.208,0.0895,0.2975,1706.0494,0.216763,-368.367531,-368.357501,-368.356557,-368.403361,37.428
103529,gdb_103530,CCC1(C)N=COC1=O,1.96432,1.63197,1.59083,1.7749,71.27,-0.2696,-0.0253,0.2444,1027.7473,0.146798,-439.145892,-439.137033,-439.136089,-439.1794,32.542
131156,gdb_131157,C#CCc1c(cn[nH]1)O,3.45579,1.27686,0.95409,3.794,72.64,-0.2081,0.0165,0.2246,1156.6646,0.112759,-416.785547,-416.777218,-416.776274,-416.81898,30.986
65714,gdb_65715,CC1(CC2CC12)OC=O,3.65262,1.07543,0.98917,4.1553,76.22,-0.2683,0.0072,0.2755,1247.8489,0.157897,-423.02032,-423.011741,-423.010796,-423.053411,32.717
112512,gdb_112513,CCC1CC(C#N)C1O,3.60645,0.94277,0.8501,3.6422,80.3,-0.277,0.0211,0.2981,1415.5236,0.170398,-403.158602,-403.149027,-403.148083,-403.193308,35.103
23830,gdb_23831,c1c(nc(=O)on1)F,4.02515,2.01835,1.34428,4.1882,47.91,-0.3,-0.1167,0.1833,772.233,0.047833,-474.61587,-474.61,-474.609056,-474.646444,20.824
12950,gdb_12951,NC12C(O)C1OC2=N,2.75301,2.25195,1.69204,1.3638,59.07,-0.2471,0.01,0.2572,800.8458,0.107159,-415.810238,-415.802984,-415.80204,-415.841408,27.726
53352,gdb_53353,CC#CC1OC=NC1C,3.15917,1.03671,0.85651,2.1853,81.19,-0.2454,0.0212,0.2665,1385.1689,0.146732,-401.941586,-401.932083,-401.931139,-401.978653,32.869
24404,gdb_24405,c1[nH]c2c(n1)C=CCO2,3.7393,1.6749,1.17772,2.8206,74.62,-0.1827,-0.0042,0.1786,977.0436,0.116293,-416.84469,-416.838092,-416.837148,-416.875587,26.16
36646,gdb_36647,N#CCNC1C2CC1O2,5.91805,0.74242,0.72562,2.5962,73.92,-0.2437,0.0154,0.2591,1520.9012,0.136145,-417.924735,-417.916626,-417.915681,-417.958553,29.872
20331,gdb_20332,C#CCn1cnnn1,6.65469,1.38396,1.16899,5.7535,60.31,-0.2846,-0.0196,0.265,936.5708,0.084128,-373.639571,-373.632696,-373.631751,-373.672011,23.859
120971,gdb_120972,OCCC1CC2CC2O1,4.51299,0.82223,0.76631,1.3548,78.69,-0.236,0.0821,0.3181,1533.2579,0.182825,-424.209152,-424.200183,-424.199239,-424.243538,33.655
125842,gdb_125843,CC1C(C)C2=CC=NN12,2.98144,1.51765,1.10186,3.0882,82.53,-0.2312,0.0345,0.2657,1130.3361,0.160959,-382.067359,-382.059118,-382.058174,-382.100275,31.12
51549,gdb_51550,O=CCC1OC11CCC1,4.9041,0.77633,0.74176,3.3023,77.58,-0.2493,-0.0249,0.2244,1550.1152,0.157128,-423.006476,-422.997443,-422.996499,-423.041575,32.534
3315,gdb_3316,CN=C1OC2CC12,7.95729,1.94111,1.74187,2.1361,60.78,-0.2492,0.0232,0.2724,737.2831,0.11326,-324.538807,-324.532321,-324.531377,-324.569272,23.519
55330,gdb_55331,NC(=O)C1NCC1C#N,2.34197,1.52475,1.01089,3.1024,69.81,-0.243,0.004,0.247,1135.9692,0.125526,-434.081438,-434.072832,-434.071888,-434.115976,31.104
119738,gdb_119739,OCCC12CCC1CC2,3.21523,0.96772,0.86449,1.2691,85.21,-0.2581,0.078,0.3362,1442.1426,0.206029,-388.261936,-388.252497,-388.251553,-388.297088,35.492
129452,gdb_129453,NC(=O)C1=NOC(=N)O1,4.50606,1.14545,0.91329,4.161,59.45,-0.2675,-0.0697,0.1978,1158.7794,0.077076,-505.954305,-505.94652,-505.945576,-505.987404,27.753
17138,gdb_17139,OC1CN(C1)C1CC1,5.39813,1.15234,1.09556,1.4664,72.91,-0.2216,0.084,0.3057,1137.3818,0.165623,-365.014178,-365.006244,-365.0053,-365.046754,30.122
2620,gdb_2621,C#CC#CCC=O,15.96205,0.91202,0.87585,1.8692,68.96,-0.25,-0.0424,0.2075,1195.3475,0.075151,-306.070291,-306.062773,-306.061829,-306.102582,25.31
69304,gdb_69305,CC12NC1C(C)(C)C2=O,2.41868,1.50106,1.26525,3.5234,80.05,-0.2278,-0.0125,0.2153,1125.1021,0.168551,-403.135031,-403.125418,-403.124474,-403.168826,35.955
91620,gdb_91621,CC1CC2CC1C(C)=C2,2.12193,1.86551,1.35259,0.2418,89.82,-0.2207,0.0305,0.2512,1097.3573,0.208141,-351.181333,-351.173043,-351.172099,-351.213558,33.893
59583,gdb_59584,CC(O)C1OC2CNC12,3.08731,1.23059,1.06337,2.0447,74.92,-0.2238,0.0655,0.2893,1206.7016,0.170714,-440.230555,-440.22176,-440.220816,-440.264109,33.509
71007,gdb_71008,OC12CC3(COC13)OC2,3.08902,1.64814,1.5018,2.5779,68.81,-0.2366,0.0483,0.2848,927.6173,0.135514,-458.837165,-458.830037,-458.829093,-458.868164,29.284
60403,gdb_60404,CC(O)CCN1CC1C,3.74365,0.66946,0.60819,0.8922,87.22,-0.2201,0.0747,0.2948,1928.6732,0.215052,-405.521905,-405.510946,-405.510002,-405.558764,39.979
96270,gdb_96271,CC1CCCCC(=O)O1,2.20452,1.58289,1.10277,2.7957,78.36,-0.2639,-0.0012,0.2627,1184.7911,0.183201,-424.275054,-424.266193,-424.265249,-424.308643,33.835
1431,gdb_1432,CCC(=O)C#CC,7.74358,1.14878,1.01918,3.4237,68.17,-0.2525,-0.0431,0.2094,1147.9697,0.121957,-308.519863,-308.511019,-308.510074,-308.55588,28.716
112906,gdb_112907,CCC1CC(O)CC1C,1.96384,1.25297,0.84889,1.4457,88.5,-0.2561,0.0744,0.3305,1474.3593,0.229277,-389.512059,-389.501867,-389.500923,-389.54728,39.003
23042,gdb_23043,CC1C(C)C1C(C)=NO,2.29496,1.10217,1.05702,0.4815,86.79,-0.225,0.0098,0.2348,1344.451,0.191416,-404.305202,-404.294341,-404.293397,-404.341953,39.187
85755,gdb_85756,OC1CC(C#C)C2NC12,3.35636,1.19231,1.02652,2.1487,76.88,-0.2431,0.0526,0.2957,1181.5149,0.148423,-401.89611,-401.887909,-401.886965,-401.928877,32.147
123677,gdb_123678,C1C2OC1C1=NON=C21,4.28142,1.63158,1.42109,4.3637,62.82,-0.2821,-0.0448,0.2372,862.979,0.091331,-452.636446,-452.630801,-452.629857,-452.666417,22.916
87910,gdb_87911,CC1CC11CCC(=N)O1,3.73267,1.09314,0.99056,3.2083,81.46,-0.2411,0.0318,0.2729,1276.4755,0.171372,-403.166337,-403.157749,-403.156805,-403.19961,33.043
40932,gdb_40933,C1OC2C1OC21COC1,3.87392,1.34294,1.21206,2.4769,67.46,-0.2492,0.0484,0.2975,1040.5995,0.136069,-458.88781,-458.880512,-458.879568,-458.919982,27.636
107417,gdb_107418,OCC12CC1CC(O)C2,3.02926,1.16389,1.04833,2.4854,77.9,-0.254,0.0704,0.3244,1232.7693,0.183462,-424.222075,-424.213296,-424.212352,-424.255246,34.493
108872,gdb_108873,CCC1=CC(O)COC1,2.85029,1.0721,0.84508,2.2955,81.85,-0.2377,0.0099,0.2476,1419.438,0.182588,-424.231895,-424.222542,-424.221598,-424.266271,35.04
113171,gdb_113172,CCN1CC1(C)C(C)=O,2.83602,1.05348,0.88894,2.8511,84.21,-0.2273,-0.0105,0.2168,1418.6504,0.190608,-404.349398,-404.338601,-404.337657,-404.385937,38.723
46650,gdb_46651,O=C1COC2C(C#C)C12,2.40725,1.58876,1.40579,2.0267,71.15,-0.2434,-0.0314,0.2119,981.5416,0.111485,-420.589525,-420.581827,-420.580883,-420.621915,29.235
78060,gdb_78061,CC1C2C(C=O)C2C1=O,2.35884,1.31495,1.19051,3.4157,74.48,-0.2511,-0.0438,0.2073,1127.8553,0.134177,-421.823608,-421.815101,-421.814157,-421.857133,31.172
121363,gdb_121364,CCOC1OCCC1O,2.46548,1.18008,0.93845,1.3391,75.04,-0.2544,0.0877,0.3421,1348.6889,0.182312,-461.370613,-461.361019,-461.360075,-461.405921,34.771
39247,gdb_39248,C1OC2CN=C3OC1C23,2.78803,2.32955,1.64048,3.8536,67.42,-0.2435,-0.0053,0.2382,826.8154,0.127017,-437.849079,-437.84295,-437.842006,-437.879428,25.08
44148,gdb_44149,O=C1NC2C(C3CC3)C12,3.23229,1.22212,1.13508,3.7072,75.3,-0.2444,0.0052,0.2496,1142.3922,0.148546,-401.921411,-401.91358,-401.912636,-401.954883,30.076
133385,gdb_133386,c1(c(nc(=O)on1)F)N,3.21654,1.4883,1.01884,6.1398,57.13,-0.263,-0.0977,0.1653,1021.7071,0.064842,-529.968647,-529.961395,-529.960451,-530.000742,26.663
125916,gdb_125917,CC1CC2=C(ON=N2)O1,3.11498,1.25627,0.9289,4.9706,74.47,-0.2378,-0.0694,0.1684,1199.0361,0.112293,-453.969424,-453.961212,-453.960268,-454.002916,29.3
102685,gdb_102686,C(C#N)NC(CO)CO,2.63852,0.84147,0.77755,4.297,72.89,-0.2544,0.0133,0.2676,1524.8681,0.159367,-456.331713,-456.321826,-456.320881,-456.367997,34.954
58579,gdb_58580,CC(C)C1(CCCC1)C,2.64849,1.16006,1.02888,0.0907,94.46,-0.2934,0.0701,0.3635,1374.672,0.252767,-353.584762,-353.574339,-353.573395,-353.619628,40.526
127927,gdb_127928,CN=c1[nH]c(n[nH]1)C#C,6.6856,0.90614,0.80201,1.2102,82.22,-0.1958,-0.0311,0.1647,1371.7737,0.111805,-412.9604,-412.951302,-412.950358,-412.994572,32.043
87691,gdb_87692,CC1NC11CN(C)C1=O,3.14797,1.14887,0.96554,2.7197,79.79,-0.2435,0.0244,0.2679,1290.2295,0.158873,-419.207758,-419.198365,-419.197421,-419.242178,33.53
70770,gdb_70771,CC12NC3(C#C)C1OC23,3.88573,1.34181,1.12956,1.4888,77.18,-0.2404,0.0169,0.2573,1078.5399,0.122079,-400.601773,-400.593915,-400.592971,-400.633807,30.765
51755,gdb_51756,O=CCC1OCC1C#C,2.6865,1.04986,0.81183,3.4357,75.27,-0.2469,-0.0248,0.2222,1373.626,0.13309,-421.776443,-421.767131,-421.766186,-421.812373,32.401
4736,gdb_4737,c1c(nc([nH]1)C#N)O,6.70788,1.37108,1.13839,4.061,62.44,-0.2295,-0.044,0.1855,933.0819,0.074389,-393.631867,-393.625424,-393.62448,-393.662465,23.813
14310,gdb_14311,CN1C2CC(O)CC12,3.06129,1.92502,1.76536,2.173,70.52,-0.2144,0.07,0.2844,862.5686,0.166544,-365.036985,-365.029247,-365.028303,-365.068783,29.903
61516,gdb_61517,CC(CC1(C)CO1)C#C,2.41653,1.13082,0.97781,2.1545,83.95,-0.2537,0.0548,0.3085,1347.087,0.178965,-387.043404,-387.033088,-387.032143,-387.078865,38.183
111214,gdb_111215,COC1C2CC1C2CO,3.04312,1.01869,0.89028,1.674,80.08,-0.2458,0.0736,0.3194,1389.8599,0.182129,-424.150792,-424.141585,-424.140641,-424.185475,34.107
29788,gdb_29789,Cn1cc(c(c1O)N)O,2.51533,1.52439,0.96003,3.2071,72.54,-0.167,0.0437,0.2106,1181.632,0.135571,-455.158712,-455.14907,-455.148126,-455.193016,35.146
110125,gdb_110126,OCC1C(CO)C1C#N,2.26096,1.19026,0.94273,2.7256,72.33,-0.2804,0.0148,0.2952,1281.1478,0.14681,-439.072557,-439.062795,-439.061851,-439.108068,34.563
117507,gdb_117508,CC(=O)C(CCO)C#N,2.35191,0.99146,0.73442,1.4201,73.13,-0.27,-0.0396,0.2304,1513.8516,0.144367,-439.113181,-439.102611,-439.101667,-439.150408,35.873
51948,gdb_51949,O=CCCC(=O)C1CN1,5.93388,0.61722,0.59537,1.9517,75.86,-0.2563,-0.0353,0.221,1820.0138,0.145561,-439.08603,-439.076487,-439.075543,-439.122385,32.684
102265,gdb_102266,NC(=O)OC(CO)C#N,2.38559,1.08693,0.92749,4.5955,62.95,-0.2881,0.0069,0.2951,1284.7623,0.111206,-491.125822,-491.116232,-491.115288,-491.161879,33.1
94989,gdb_94990,CC1OCC2C3CC1N23,2.85951,1.76578,1.36823,0.6549,77.64,-0.2293,0.0853,0.3146,1003.4483,0.173397,-403.112713,-403.1053,-403.104356,-403.144168,30.084
24992,gdb_24993,O=C1NC2=C(OCO2)O1,4.99712,1.35823,1.08894,3.8364,56.63,-0.2022,-0.0076,0.1947,992.822,0.079069,-509.756493,-509.749986,-509.749042,-509.787441,24.599
9300,gdb_9301,CCC(C)N=COC,3.21826,1.0296,0.83283,2.731,80.46,-0.2473,0.0237,0.2711,1453.3284,0.185828,-366.267354,-366.256967,-366.256022,-366.303576,35.733
95001,gdb_95002,CC1COC2C3CC2N13,2.91358,1.77067,1.41427,0.3294,78.43,-0.2114,0.0905,0.3019,988.9394,0.173083,-403.078662,-403.071453,-403.070509,-403.109921,29.792
96088,gdb_96089,CC1CC2(CC2)CCO1,2.75232,1.30676,1.02034,1.0701,86.06,-0.2373,0.0858,0.3231,1269.0167,0.207084,-388.298783,-388.290125,-388.289181,-388.331584,34.816
80903,gdb_80904,CC1(O)C2OC1(C)C2O,2.05861,1.74341,1.45504,2.7942,71.7,-0.2411,0.051,0.2922,1031.7729,0.156491,-460.103493,-460.094492,-460.093547,-460.136252,35.363
113789,gdb_113790,CCC1OC1C1(C)CN1,2.50912,1.20695,1.02317,1.8281,82.01,-0.2413,0.0771,0.3184,1305.7921,0.193026,-404.311907,-404.30206,-404.301116,-404.346716,36.58
63096,gdb_63097,CC1(O)C2CCC(=O)C12,2.58096,1.39476,1.21246,2.3328,75.91,-0.2339,-0.013,0.2209,1109.6735,0.158591,-423.047268,-423.038667,-423.037722,-423.080202,33.339
81125,gdb_81126,CC1C2CC1(CC#N)N2,3.28039,1.11601,0.99464,5.3381,80.36,-0.2472,0.0346,0.2818,1247.7507,0.159858,-382.019307,-382.010778,-382.009834,-382.052907,32.156
132700,gdb_132701,c1c(c(nc(n1)O)O)F,3.20675,1.42856,0.98829,2.4276,60.07,-0.2441,-0.0375,0.2066,1052.7001,0.078749,-513.975954,-513.969126,-513.968182,-514.00729,26.107
104085,gdb_104086,CC1C=CCC1(O)CO,2.41467,1.42281,1.1465,2.2371,79.1,-0.2354,0.0276,0.2631,1168.7709,0.181847,-424.235443,-424.226021,-424.225077,-424.269219,36.341
74528,gdb_74529,CC1=CC23CC2(C1)OC3,3.64031,1.34537,1.28032,1.8372,80.53,-0.2198,0.0147,0.2345,1076.3464,0.159898,-385.846368,-385.838768,-385.837824,-385.878015,30.664
88914,gdb_88915,CC1CC1OC(=O)C#N,3.30242,0.93998,0.90652,4.3405,72.1,-0.2926,-0.0694,0.2232,1341.2965,0.122431,-437.902075,-437.893002,-437.892057,-437.937278,31.746
52888,gdb_52889,CC#CC1(CC1O)C#N,2.04762,1.21202,0.86099,4.3336,80.37,-0.2569,0.0067,0.2636,1362.8367,0.121436,-400.719074,-400.709184,-400.70824,-400.755031,34.315
34348,gdb_34349,N#CC12CNC1C1NC21,2.9206,1.61611,1.30647,2.9767,72.98,-0.2355,0.0118,0.2473,977.0111,0.126375,-396.850531,-396.843467,-396.842523,-396.881912,28.046
28032,gdb_28033,c1c(nc([nH]1)O)CC#N,6.06966,0.89046,0.78025,4.0532,67.33,-0.2185,0.0354,0.254,1340.3322,0.102445,-432.927481,-432.919517,-432.918572,-432.960719,29.036
19823,gdb_19824,CC1OC2C3OC3C12,3.67037,2.26612,1.92943,2.6737,63.15,-0.2458,0.0543,0.3,752.2733,0.130369,-383.664251,-383.657757,-383.656813,-383.694585,25.672
90049,gdb_90050,CC1CC23CC(C12)C3=O,3.76338,1.28544,1.18715,3.3958,81.56,-0.2373,0.0145,0.2518,1102.8907,0.159556,-385.794654,-385.786876,-385.785931,-385.826671,30.93
33333,gdb_33334,N#CC#CC1CC1C#N,3.08255,0.88371,0.722,7.1301,82.48,-0.2858,-0.0558,0.23,1462.9623,0.089336,-378.457196,-378.448927,-378.447983,-378.491078,29.053
106851,gdb_106852,CCC12CCC1(O2)C#N,2.57747,1.31744,1.01172,4.3577,78.19,-0.2695,-0.0003,0.2692,1220.7378,0.146448,-401.935612,-401.926768,-401.925823,-401.969512,32.581
97904,gdb_97905,OCC#CCC(O)C#N,5.41553,0.54918,0.52415,4.3212,75.71,-0.26,0.0051,0.2651,2010.0843,0.121386,-437.848022,-437.837586,-437.836642,-437.885641,34.946
95183,gdb_95184,CC1OCC2CC2C1=O,2.41504,1.71992,1.21105,2.6675,75.82,-0.23,-0.0164,0.2136,1071.8406,0.160048,-423.043854,-423.035792,-423.034848,-423.076475,31.375
42604,gdb_42605,N=C1C2C3OC(=O)N1C23,2.71121,2.18984,1.50471,4.4679,62.56,-0.2752,-0.0283,0.2469,836.1376,0.090693,-452.72745,-452.721315,-452.720371,-452.758086,24.224
69628,gdb_69629,OC12CC1C1(NC21)C#C,3.6142,1.19869,1.15643,1.1533,77.18,-0.2101,0.0247,0.2348,1103.7258,0.122304,-400.619189,-400.611215,-400.610271,-400.651217,31.954
11846,gdb_11847,O=CC1CC2(CC2)O1,6.47597,1.15653,1.13515,2.8661,66.03,-0.2388,-0.0347,0.2041,1064.8571,0.128561,-383.709852,-383.702173,-383.701228,-383.742753,27.884
106220,gdb_106221,COC12C=CC3OC1C23,3.55512,1.50746,1.30565,0.8665,72.21,-0.2161,-0.0032,0.2129,999.63,0.135475,-421.757414,-421.750056,-421.749112,-421.789114,29.119
115513,gdb_115514,COC1COC(C1)OC,4.84377,0.87785,0.81622,1.0954,76.03,-0.2498,0.088,0.3378,1481.2158,0.181697,-461.353404,-461.343776,-461.342832,-461.388841,34.412
73562,gdb_73563,CC12CCCC1C1CC21,2.29635,1.81153,1.41272,0.184,87.59,-0.2386,0.0846,0.3232,1064.9343,0.208411,-351.144172,-351.136365,-351.135421,-351.175751,33.077
91593,gdb_91594,OC1CN2CC12CC=O,2.83725,1.17543,0.97653,2.3579,72.83,-0.2442,-0.0245,0.2197,1231.3561,0.145952,-439.040164,-439.031247,-439.030303,-439.074727,32.375
21114,gdb_21115,Cn1c(=O)n(nn1)C,3.7795,2.10563,1.37587,0.018,60.61,-0.2422,-0.0223,0.2199,858.9819,0.107581,-412.046267,-412.038415,-412.037471,-412.079037,26.4
73478,gdb_73479,CC12CCC3OC1CC23,2.46816,2.141,1.54413,1.5625,80.7,-0.23,0.0911,0.321,954.8693,0.185474,-387.088899,-387.081787,-387.080842,-387.11981,30.317
112746,gdb_112747,CCC1OC(C)C11CN1,2.26193,1.30922,0.99361,1.7205,82.64,-0.2402,0.0692,0.3093,1317.2417,0.193071,-404.314014,-404.304336,-404.303392,-404.348694,36.089
102279,gdb_102280,CCC(OC(C)=O)C=O,2.00387,1.27987,0.92985,3.031,73.27,-0.2581,-0.0284,0.2297,1346.5014,0.155018,-460.21615,-460.205582,-460.204638,-460.252988,35.885
110634,gdb_110635,CCC1C2C3OC3C12O,2.43908,1.42232,1.09249,0.8656,74.65,-0.2284,0.0568,0.2852,1179.3902,0.156956,-422.933322,-422.924553,-422.923609,-422.96795,33.53
130085,gdb_130086,c1noc2n1nc(n2)N,5.63935,1.38166,1.11058,2.8235,63.32,-0.2327,-0.028,0.2047,978.1962,0.080823,-464.970692,-464.964397,-464.963453,-465.001245,24.352
15794,gdb_15795,CC(OC=O)C1CN1,3.01828,1.48208,1.12114,3.4328,65.69,-0.2524,-0.0012,0.2511,1071.0375,0.141157,-400.994114,-400.985592,-400.984648,-401.028164,29.793
69942,gdb_69943,OC12CC1C1OCC1=C2,3.99356,1.38885,1.21559,1.8111,73.95,-0.2338,-0.0047,0.2291,1024.9915,0.136446,-421.763973,-421.756659,-421.755715,-421.795384,29.306
18892,gdb_18893,OC12CC3C4C1C2N34,4.48088,2.38103,2.00979,1.1744,62.07,-0.2242,0.0628,0.287,690.2535,0.120513,-362.59198,-362.586268,-362.585324,-362.621289,24.048
131298,gdb_131299,c1c(nn(n1)CC#N)O,4.02746,1.02259,0.91767,3.2321,65.23,-0.2519,-0.0249,0.227,1216.4507,0.090788,-448.93225,-448.924587,-448.923643,-448.965664,27.145
3614,gdb_3615,C1C2C3CCC1C23,4.30762,3.49079,2.75919,0.2126,66.01,-0.2495,0.0941,0.3435,591.4854,0.152095,-272.566631,-272.56137,-272.560426,-272.595239,22.175
14394,gdb_14395,CC1(O)C2C3CN3C12,4.14374,1.88319,1.60122,1.5226,67.57,-0.2211,0.0612,0.2823,837.5976,0.141219,-363.754165,-363.746852,-363.745908,-363.785194,29.071
23178,gdb_23179,C1CC(=NO)C2(C1)CC2,2.25733,1.56868,1.03119,0.8479,82.81,-0.2261,0.0111,0.2372,1194.6915,0.171537,-403.11805,-403.109529,-403.108584,-403.151172,33.3
